<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.03.10	1.19002	1.19298	1.18687	1.19284	87767	0	1
2021.03.11	1.19283	1.19900	1.19158	1.19851	86008	0	1
2021.03.12	1.19850	1.19886	1.19098	1.19519	83666	0	1
2021.03.15	1.19473	1.19674	1.19111	1.19271	67450	0	1
2021.03.16	1.19271	1.19517	1.18823	1.19009	67321	0	1
2021.03.17	1.19009	1.19853	1.18863	1.19802	71533	0	1
2021.03.18	1.19802	1.19890	1.19062	1.19135	85787	0	1
2021.03.19	1.19134	1.19372	1.18738	1.19044	73391	0	1
2021.03.22	1.18828	1.19467	1.18744	1.19332	61205	0	1
2021.03.23	1.19337	1.19407	1.18423	1.18480	64329	0	1
2021.03.24	1.18477	1.18516	1.18097	1.18123	64871	0	1
2021.03.25	1.18122	1.18277	1.17619	1.17677	72966	0	1
2021.03.26	1.17683	1.18049	1.17677	1.17933	53288	0	1
2021.03.29	1.17886	1.17937	1.17608	1.17642	59703	0	1
2021.03.30	1.17640	1.17736	1.17114	1.17169	56334	0	1
2021.03.31	1.17170	1.17598	1.17041	1.17298	60218	0	1
2021.04.01	1.17298	1.17799	1.17124	1.17759	54081	0	1
2021.04.02	1.17760	1.17864	1.17488	1.17608	25975	0	0
2021.04.05	1.17543	1.18196	1.17382	1.18125	35619	0	1
2021.04.06	1.18125	1.18776	1.17951	1.18740	54221	0	1
2021.04.07	1.18730	1.19147	1.18609	1.18668	64421	0	1
2021.04.08	1.18666	1.19273	1.18605	1.19124	52471	0	0
2021.04.09	1.19121	1.19202	1.18672	1.19010	53194	0	1
2021.04.12	1.18881	1.19190	1.18712	1.19099	53836	0	1
2021.04.13	1.19093	1.19560	1.18775	1.19474	64190	0	1
2021.04.14	1.19478	1.19874	1.19459	1.19784	46298	0	1
2021.04.15	1.19781	1.19933	1.19561	1.19655	44581	0	1
2021.04.16	1.19654	1.19949	1.19504	1.19809	39119	0	1
2021.04.19	1.19716	1.20481	1.19426	1.20367	47784	0	1
2021.04.20	1.20364	1.20798	1.20224	1.20343	47965	0	1
2021.04.21	1.20343	1.20436	1.19984	1.20343	40554	0	0
2021.04.22	1.20345	1.20690	1.19937	1.20140	50069	0	0
2021.04.23	1.20139	1.21000	1.20129	1.20973	41892	0	0
2021.04.26	1.20922	1.21170	1.20613	1.20841	42446	0	0
2021.04.27	1.20854	1.20928	1.20568	1.20892	38426	0	0
2021.04.28	1.20896	1.21348	1.20563	1.21250	50256	0	0
2021.04.29	1.21249	1.21502	1.21021	1.21187	46298	0	0
2021.04.30	1.21190	1.21266	1.20166	1.20208	46828	0	0
2021.05.03	1.20301	1.20759	1.20129	1.20629	37322	0	0
2021.05.04	1.20630	1.20641	1.19992	1.20121	50615	0	0
2021.05.05	1.20118	1.20268	1.19860	1.20036	40778	0	0
2021.05.06	1.20036	1.20716	1.19931	1.20646	44831	0	0
2021.05.07	1.20647	1.21713	1.20530	1.21618	58468	0	0
2021.05.10	1.21600	1.21783	1.21278	1.21282	51513	0	0
2021.05.11	1.21280	1.21817	1.21230	1.21470	57217	0	0
2021.05.12	1.21472	1.21521	1.20656	1.20705	69534	0	0
2021.05.13	1.20724	1.21061	1.20515	1.20791	65958	0	0
2021.05.14	1.20787	1.21476	1.20708	1.21441	49976	0	0
2021.05.17	1.21323	1.21687	1.21260	1.21511	46428	0	0
2021.05.18	1.21513	1.22339	1.21480	1.22219	49583	0	0
2021.05.19	1.22219	1.22452	1.21599	1.21744	75108	0	0
2021.05.20	1.21744	1.22290	1.21690	1.22269	55450	0	0
2021.05.21	1.22270	1.22398	1.21610	1.21806	58463	0	0
2021.05.24	1.21776	1.22300	1.21722	1.22150	57085	0	0
2021.05.25	1.22146	1.22664	1.22117	1.22497	61602	0	0
2021.05.26	1.22491	1.22630	1.21820	1.21922	58587	0	0
2021.05.27	1.21906	1.22151	1.21751	1.21934	59404	0	0
2021.05.28	1.21932	1.22050	1.21327	1.21896	60110	0	0
2021.05.31	1.21993	1.22314	1.21833	1.22250	36694	0	0
2021.06.01	1.22254	1.22543	1.22118	1.22126	52448	0	0
2021.06.02	1.22125	1.22265	1.21643	1.22100	53793	0	0
2021.06.03	1.22097	1.22143	1.21183	1.21265	59299	0	0
2021.06.04	1.21261	1.21856	1.21041	1.21662	56073	0	0
2021.06.07	1.21595	1.22018	1.21448	1.21893	40542	0	0
2021.06.08	1.21891	1.21942	1.21643	1.21726	48682	0	0
2021.06.09	1.21722	1.22179	1.21709	1.21787	42992	0	0
2021.06.10	1.21787	1.21950	1.21432	1.21751	66547	0	0
2021.06.11	1.21751	1.21931	1.20927	1.21063	54807	0	0
2021.06.14	1.21025	1.21303	1.20942	1.21200	46944	0	0
2021.06.15	1.21190	1.21473	1.21014	1.21264	50679	0	0
2021.06.16	1.21256	1.21348	1.19940	1.19943	66416	0	0
2021.06.17	1.19939	1.20064	1.18918	1.19069	90570	0	0
2021.06.18	1.19056	1.19251	1.18537	1.18597	81407	0	0
2021.06.21	1.18550	1.19212	1.18477	1.19185	87967	0	0
2021.06.22	1.19166	1.19525	1.18809	1.19413	68415	0	0
2021.06.23	1.19376	1.19703	1.19116	1.19258	66823	0	0
2021.06.24	1.19254	1.19563	1.19175	1.19315	65027	0	0
2021.06.25	1.19315	1.19752	1.19265	1.19370	59055	0	0
